
 # Omega; pulse ft; flux 

  0.0000      0.355898E-14          Infinity          Infinity      0.460131E-09      0.105879E-20
  0.8290      0.348743E-04      0.163264E+01     -0.817583E-14      0.110283E-03     -0.552265E-18
  0.8352      0.354779E-04      0.159159E+01     -0.411049E-14      0.110199E-03     -0.284603E-18
  0.8415      0.360671E-04      0.155401E+01      0.955515E-16      0.110206E-03      0.677626E-20
  0.8478      0.366410E-04      0.151441E+01      0.415444E-14      0.109921E-03      0.301544E-18
  0.8541      0.371988E-04      0.147873E+01      0.780463E-14      0.109772E-03      0.579371E-18
  0.8604      0.377395E-04      0.144070E+01      0.113433E-13      0.109302E-03      0.860585E-18
  0.8666      0.382623E-04      0.140692E+01      0.148243E-13      0.109007E-03      0.114858E-17
  0.8729      0.387664E-04      0.137086E+01     -0.599904E-13      0.108393E-03     -0.474338E-17
  0.8792      0.392510E-04      0.133903E+01     -0.552129E-13      0.107971E-03     -0.445201E-17
  0.8855      0.397154E-04      0.130511E+01     -0.504281E-13      0.107242E-03     -0.414369E-17
  0.8918      0.401587E-04      0.127507E+01     -0.459570E-13      0.106693E-03     -0.384553E-17
  0.8980      0.405804E-04      0.124316E+01     -0.416201E-13      0.105856E-03     -0.354399E-17
  0.9043      0.409796E-04      0.121457E+01     -0.374851E-13      0.105170E-03     -0.324583E-17
  0.9106      0.413559E-04      0.118449E+01     -0.336149E-13      0.104225E-03     -0.295784E-17
  0.9169      0.417085E-04      0.115713E+01     -0.298036E-13      0.103394E-03     -0.266307E-17
  0.9232      0.420370E-04      0.112876E+01     -0.264550E-13      0.102350E-03     -0.239880E-17
  0.9294      0.423407E-04      0.110255E+01     -0.230295E-13      0.101381E-03     -0.211758E-17
  0.9357      0.426192E-04      0.107589E+01     -0.197075E-13      0.100253E-03     -0.183637E-17
  0.9420      0.428720E-04      0.105086E+01     -0.165523E-13      0.991626E-04     -0.156193E-17
  0.9483      0.430988E-04      0.102589E+01     -0.134468E-13      0.979671E-04     -0.128410E-17
  0.9546      0.432992E-04      0.100202E+01     -0.107004E-13      0.967695E-04     -0.103338E-17
  0.9608      0.434728E-04      0.978664E+00     -0.801913E-14      0.955166E-04     -0.782658E-18
  0.9671      0.436193E-04      0.955912E+00     -0.543102E-14      0.942224E-04     -0.535325E-18
  0.9734      0.437386E-04      0.934033E+00     -0.296310E-14      0.929171E-04     -0.294767E-18
  0.9797      0.438305E-04      0.912331E+00     -0.439002E-15      0.915356E-04     -0.440457E-19
  0.9860      0.438947E-04      0.891808E+00      0.184278E-14      0.901820E-04      0.186347E-18
  0.9922      0.439313E-04      0.871115E+00      0.402511E-14      0.887244E-04      0.409964E-18
  0.9985      0.439402E-04      0.851848E+00      0.621330E-14      0.873289E-04      0.636969E-18
  1.0048      0.439213E-04      0.832156E+00     -0.390670E-13      0.858097E-04     -0.402849E-17
  1.0111      0.438748E-04      0.814076E+00     -0.361525E-13      0.843805E-04     -0.374727E-17
