        etc       1den       1mpi       F.T.       2mpi        dot        ALL    ft_copy   ft_conjg    ft_ft1d      ft_tr     ft_mpi    ft_copy    ft_circ
         12          3         40       2764          9        407       3062         19         32        168        302       2047        166         29
         14          1         46       2727          7        247       2865         18         28        166        301       2022        164         28
         23          2         33       2733         13        243       2873         18         34        165        305       2011        168         30
         14          6         36       2727          9        338       2958         19         27        162        301       2029        158         29
         10          2         41       2752          5        408       3054         18         38        163        307       2030        168         28
         12          0         47       2743          4        346       2979         20         33        160        296       2047        158         27
         12          0         36       2740          6        335       2964         16         31        166        300       2044        154         29
         13          1         43       2738          5        301       2928         22         31        164        301       2035        155         29
         13          3         35       2737          5        407       3032         17         30        162        303       2031        161         31
         11          1         41       2760          6        409       3057         16         33        163        321       2033        163         29
         16          3         32       2738          8        244       2869         16         29        160        307       2039        157         27
         24          3         42       2729         17        243       2881         18         30        152        297       2044        157         29
         20          5         39       2734         17        406       3041         19         23        167        307       2032        155         28
